spectrum,R (sRGB),G,B,L,a*,b*,Y,x,y,fx,fy,fz,eta,kappa,xr,yr,zr,Xr,Yr,Zr,X,Y,Z
yellows,255.0096327,242.4117628,55.78724742,94.01131525,-14.56345362,83.50414522,85.29785366,0.4208851106,0.4862586016,0.9192465001,0.9483734074,0.5308526812,0.008856,903.3,0.7767762797,0.8529785366,0.1495967111,95.047,100,108.883,73.83025506,85.29785366,16.2885387
yellows,255.0076954,236.0708649,53.91104053,92.38113773,-11.52316676,82.58637845,81.5618653,0.4257971399,0.4828417285,0.9112738193,0.9343201528,0.5213882606,0.008856,903.3,0.7567399811,0.815618653,0.1417371662,95.047,100,108.883,71.92586499,81.5618653,15.43276787
yellows,254.9920242,229.6999104,52.00040726,90.7509602,-8.441379147,81.68509255,77.93659048,0.4309295086,0.4792827936,0.90338414,0.9202668983,0.5118414356,0.008856,903.3,0.7372544205,0.7793659048,0.1340930665,95.047,100,108.883,70.0738209,77.93659048,14.60045536
yellows,254.988519,223.2854235,50.06753435,89.12078268,-5.301022103,80.79815157,74.42036396,0.4363155241,0.4755486053,0.8956115996,0.9062136438,0.502222886,0.008856,903.3,0.7183880992,0.7442036396,0.1266745873,95.047,100,108.883,68.28063367,74.42036396,13.79270909
yellows,254.9900466,216.8243895,48.10745453,87.49060516,-2.104679578,79.92708204,71.01152047,0.4419613122,0.4716367155,0.8879510301,0.8921603893,0.4925249791,0.008856,903.3,0.7001112337,0.7101152047,0.1194771305,95.047,100,108.883,66.54347243,71.01152047,13.0090284
yellows,254.9792631,210.3174147,46.1098724,85.86042763,1.138317814,79.07442434,67.70839476,0.4478628276,0.4675553579,0.8803837704,0.8781071347,0.482735013,0.008856,903.3,0.6823639642,0.6770839476,0.1124932331,95.047,100,108.883,64.85664771,67.70839476,12.2486007
yellows,254.9804817,203.7483345,44.08559411,84.23025011,4.44488073,78.23853948,64.50932156,0.454055279,0.4632699942,0.8729436417,0.8640538802,0.4728611828,0.008856,903.3,0.6652097684,0.6450932156,0.1057306721,95.047,100,108.883,63.22619286,64.50932156,11.51227277
yellows,254.9833623,197.1130702,42.02752168,82.60007258,7.810175354,77.42138389,61.41263562,0.4605419414,0.4587807571,0.8656209764,0.8500006257,0.4628937063,0.008856,903.3,0.6486095161,0.6141263562,0.09918450444,95.047,100,108.883,61.64838868,61.41263562,10.7995064
yellows,254.9763495,190.4075061,39.92773033,80.96989506,11.2281591,76.62497141,58.41667167,0.4673237621,0.4540895768,0.8584036894,0.8359473712,0.4528225142,0.008856,903.3,0.6325206763,0.5841667167,0.09285045473,95.047,100,108.883,60.11919272,58.41667167,10.10983606
yellows,254.9815854,183.6112398,37.79517403,79.33971753,14.71512529,75.84826341,55.51976446,0.4744367499,0.4491613006,0.8513243672,0.8218941167,0.4426527996,0.008856,903.3,0.6170000409,0.5551976446,0.08673405399,95.047,100,108.883,58.64400289,55.51976446,9.443864001
yellows,255.0052092,176.7078466,35.63037538,77.70954001,18.27729374,75.09193854,52.72024872,0.4819020302,0.4439766603,0.8443954496,0.8078408621,0.4323811695,0.008856,903.3,0.602057059,0.5272024872,0.08083516246,95.047,100,108.883,57.22371729,52.72024872,8.801574994
yellows,254.9649545,169.7232213,33.38819435,76.07936248,21.85951312,74.36398526,50.0164592,0.4896400721,0.4386182683,0.8375066339,0.7937876076,0.4219676813,0.008856,903.3,0.5874416936,0.500164592,0.07513418301,95.047,100,108.883,55.83457065,50.0164592,8.180835249
yellows,254.2572893,162.9714766,30.74968348,74.44918496,25.03467868,73.71138061,47.40673064,0.496944635,0.4337939403,0.8298037105,0.7797343531,0.4111774501,0.008856,903.3,0.5713814243,0.4740673064,0.06951649496,95.047,100,108.883,54.30809024,47.40673064,7.56916452
yellows,253.9554549,155.8787717,28.26271173,72.81900744,28.55379328,73.04892613,44.88939777,0.5050638632,0.4282395062,0.8227886851,0.7656810986,0.4004364679,0.008856,903.3,0.5570124882,0.4488939777,0.0642097333,95.047,100,108.883,52.94236597,44.88939777,6.991348391
yellows,254.0104031,148.4144855,25.90451099,71.18882991,32.39508845,72.3859449,42.46279534,0.513989354,0.4219748266,0.816418021,0.7516278441,0.3896981195,0.008856,903.3,0.5441739491,0.4246279534,0.05918135854,95.047,100,108.883,51.72210134,42.46279534,6.443843862
yellows,254.0143148,140.7703829,23.4525111,69.55865239,36.27043654,71.75482815,40.12525808,0.5232456723,0.4154744345,0.8101154626,0.7375745895,0.3788004488,0.008856,903.3,0.5316682975,0.4012525808,0.05435399307,95.047,100,108.883,50.53347667,40.12525808,5.918225827
yellows,254.0098835,132.881018,20.92035925,67.92847486,40.21177557,71.15384183,37.87512074,0.5328938059,0.4086744187,0.8039448861,0.723521335,0.3677521259,0.008856,903.3,0.5196115919,0.3787512074,0.04973539549,95.047,100,108.883,49.38752298,37.87512074,5.415339067
yellows,254.0132272,124.6805787,18.30532799,66.29829734,44.23264447,70.58358491,35.71071806,0.5429632248,0.4015417452,0.7979333694,0.7094680805,0.356550156,0.008856,903.3,0.5080423108,0.3571071806,0.04532751311,95.047,100,108.883,48.28789751,35.71071806,4.93539561
reds,255,129,192,70.01532341,54.81574295,-9.541685209,40.7712017,0.3832936136,0.266648563,0.8511428946,0.7415114087,0.7892198348,0.008856,903.3,0.6166055564,0.407712017,0.4915797387,95.047,100,108.883,58.60650832,40.7712017,53.52467668
reds,254,122,182,68.84785901,56.01895078,-8.772590815,39.13350044,0.3882396598,0.266365607,0.843484962,0.7314470605,0.7753100145,0.008856,903.3,0.6001116152,0.3913350044,0.4660432059,95.047,100,108.883,57.03880869,39.13350044,50.74418239
reds,252,115,172,67.68039462,57.01352512,-7.007966929,37.54025264,0.3955993617,0.2679882307,0.8354097624,0.7213827122,0.7564225469,0.008856,903.3,0.5830403855,0.3754025264,0.4328061232,95.047,100,108.883,55.41623952,37.54025264,47.12522912
reds,251,109,162,66.51293022,57.88551556,-4.577695123,35.99084662,0.4047587827,0.2708897505,0.8270893951,0.711318364,0.7342068396,0.008856,903.3,0.5657927225,0.3599084662,0.3957813064,95.047,100,108.883,53.77690089,35.99084662,43.09385598
reds,250,102,152,65.34546582,58.86115674,-2.246398125,34.48467074,0.4141149879,0.273523453,0.8189763292,0.7012540157,0.7124860063,0.008856,903.3,0.549305628,0.3448467074,0.3616837666,95.047,100,108.883,52.20985202,34.48467074,39.38121356
reds,248,95,141,64.17800142,60.07701261,-0.4304581123,33.02111334,0.4227625368,0.2750015872,0.8113436927,0.6911896675,0.693341958,0.008856,903.3,0.5340901801,0.3302111334,0.3333054751,95.047,100,108.883,50.76366935,33.02111334,36.29130005
