,subject_id,colour,num,is_dark,rt,language
774,54af2a48fdf99b09c01b3801,reds,15,1,835.2000003,English
775,54af2a48fdf99b09c01b3801,browns,3,0,918.2999997,English
776,54af2a48fdf99b09c01b3801,blues,12,1,975.1000004,English
777,54af2a48fdf99b09c01b3801,browns,14,1,921.7000003,English
778,54af2a48fdf99b09c01b3801,browns,2,0,799.4000001,English
779,54af2a48fdf99b09c01b3801,reds,12,0,1512.5,English
780,54af2a48fdf99b09c01b3801,browns,9,0,823.2000003,English
781,54af2a48fdf99b09c01b3801,reds,16,1,671.7000003,English
782,54af2a48fdf99b09c01b3801,reds,19,1,1035.8,English
783,54af2a48fdf99b09c01b3801,reds,1,0,925.6000004,English
784,54af2a48fdf99b09c01b3801,blues,5,0,686.6000004,English
785,54af2a48fdf99b09c01b3801,reds,17,1,783.0999999,English
786,54af2a48fdf99b09c01b3801,blues,18,1,789.5,English
787,54af2a48fdf99b09c01b3801,blues,19,1,770.6999998,English
788,54af2a48fdf99b09c01b3801,yellows,16,1,1452.2,English
789,54af2a48fdf99b09c01b3801,reds,6,0,688.2000003,English
790,54af2a48fdf99b09c01b3801,yellows,18,1,1515.3,English
791,54af2a48fdf99b09c01b3801,yellows,1,0,632.7000003,English
792,54af2a48fdf99b09c01b3801,yellows,12,1,1505.3,English
793,54af2a48fdf99b09c01b3801,reds,4,0,911.8000002,English
794,54af2a48fdf99b09c01b3801,yellows,7,0,1127.8,English
795,54af2a48fdf99b09c01b3801,yellows,4,0,861.9000001,English
796,54af2a48fdf99b09c01b3801,reds,10,0,1521.9,English
797,54af2a48fdf99b09c01b3801,reds,7,0,1894.1,English
798,54af2a48fdf99b09c01b3801,browns,9,0,850.5,English
799,54af2a48fdf99b09c01b3801,browns,7,0,767.4000001,English
800,54af2a48fdf99b09c01b3801,browns,7,0,633.6999998,English
801,54af2a48fdf99b09c01b3801,blues,10,0,959.0999999,English
802,54af2a48fdf99b09c01b3801,blues,1,0,694.9000001,English
803,54af2a48fdf99b09c01b3801,blues,8,0,956.1000004,English
804,54af2a48fdf99b09c01b3801,reds,13,1,2301,English
806,54af2a48fdf99b09c01b3801,yellows,1,0,865.3000002,English
807,54af2a48fdf99b09c01b3801,blues,18,1,827.3999996,English
808,54af2a48fdf99b09c01b3801,yellows,19,1,619.0999999,English
809,54af2a48fdf99b09c01b3801,browns,10,0,774.8000002,English
810,54af2a48fdf99b09c01b3801,blues,5,0,1656,English
811,54af2a48fdf99b09c01b3801,reds,16,1,733.2999997,English
812,54af2a48fdf99b09c01b3801,yellows,16,1,657.4000001,English
813,54af2a48fdf99b09c01b3801,blues,12,1,972,English
814,54af2a48fdf99b09c01b3801,yellows,11,1,1661.5,English
815,54af2a48fdf99b09c01b3801,yellows,11,1,1589.8,English
816,54af2a48fdf99b09c01b3801,blues,14,1,1853.8,English
817,54af2a48fdf99b09c01b3801,reds,18,1,747.3000002,English
818,54af2a48fdf99b09c01b3801,yellows,15,1,1121.7,English
819,54af2a48fdf99b09c01b3801,reds,15,1,774.2999997,English
820,54af2a48fdf99b09c01b3801,reds,9,0,772.4000001,English
821,54af2a48fdf99b09c01b3801,reds,19,1,788.7999997,English
822,54af2a48fdf99b09c01b3801,yellows,20,1,984.0999999,English
823,54af2a48fdf99b09c01b3801,yellows,2,0,675.5999999,English
824,54af2a48fdf99b09c01b3801,blues,8,0,907.7999997,English
825,54af2a48fdf99b09c01b3801,yellows,12,1,970.0999999,English
826,54af2a48fdf99b09c01b3801,blues,7,0,728.9000001,English
827,54af2a48fdf99b09c01b3801,browns,17,1,783.7000003,English
828,54af2a48fdf99b09c01b3801,blues,15,1,694.6999998,English
829,54af2a48fdf99b09c01b3801,blues,20,1,830.5,English
830,54af2a48fdf99b09c01b3801,yellows,16,1,645.3000002,English
831,54af2a48fdf99b09c01b3801,yellows,14,1,896.4000001,English
832,54af2a48fdf99b09c01b3801,reds,5,0,685.2000003,English
833,54af2a48fdf99b09c01b3801,yellows,19,1,793.1999998,English
834,54af2a48fdf99b09c01b3801,reds,13,0,925.9000001,English
835,54af2a48fdf99b09c01b3801,blues,20,1,1345.5,English
836,54af2a48fdf99b09c01b3801,yellows,5,0,851.5,English
837,54af2a48fdf99b09c01b3801,browns,20,1,839.5999999,English
838,54af2a48fdf99b09c01b3801,yellows,20,1,1122.5,English
839,54af2a48fdf99b09c01b3801,blues,3,0,795.5,English
840,54af2a48fdf99b09c01b3801,blues,17,1,1172.7,English
841,54af2a48fdf99b09c01b3801,blues,6,0,1050,English
842,54af2a48fdf99b09c01b3801,browns,18,1,754.2000003,English
843,54af2a48fdf99b09c01b3801,reds,14,0,2234.4,English
844,54af2a48fdf99b09c01b3801,blues,10,0,1429.9,English
845,54af2a48fdf99b09c01b3801,blues,1,0,818,English
